CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;EI02;DD01;DD03_01;FG01_01;FG01_02;FG01_03;FG01_04;FG01_05;FG01_06;FG01_07;FG01_08;FG01_09;FG01_10;FG01_11;FG02_01;KL01;TIME001;TIME002;TIME003;TIME004;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
172;;687;base;interview;13.12.2021 17:58;1;2;18;4;3;2;1;1;4;4;4;3;4;3;3;1;9;20;51;3;69;;13.12.2021 17:59;1;0;4;4;0;0;0,85;6
173;;430;base;interview;13.12.2021 18:41;1;2;20;3;4;2;1;1;2;1;3;2;3;2;2;1;4;8;55;6;73;;13.12.2021 18:43;1;0;4;4;0;0;0,99;7
174;;800;base;interview;13.12.2021 19:21;1;2;25;2;3;1;2;1;1;1;1;1;3;2;3;1;3;5;49;3;60;;13.12.2021 19:22;1;0;4;4;0;0;1,42;21
175;;744;base;interview;13.12.2021 19:34;1;2;20;4;3;3;1;2;4;3;4;3;4;2;3;1;4;5;68;7;84;;13.12.2021 19:36;1;0;4;4;0;0;1,03;9
176;;679;base;interview;13.12.2021 21:33;1;2;18;2;2;2;4;4;2;2;2;2;3;2;2;1;268;6;71;12;87;;13.12.2021 21:39;1;0;4;4;0;0;0,54;0
177;;203;base;interview;14.12.2021 08:59;1;2;19;3;4;1;1;1;2;1;1;1;4;2;3;1;2;7;44;5;58;;14.12.2021 09:00;1;0;4;4;0;0;1,49;29
178;;662;base;interview;14.12.2021 14:34;1;2;22;4;3;1;1;1;4;2;3;2;4;3;4;1;6;6;50;5;67;;14.12.2021 14:35;1;0;4;4;0;0;0,99;2
180;;658;base;interview;14.12.2021 15:44;1;2;19;4;4;1;1;2;4;1;2;2;4;1;4;1;11;5;52;3;71;;14.12.2021 15:45;1;0;4;4;0;0;1,04;8
181;;202;base;interview;14.12.2021 16:03;1;2;27;2;2;1;1;1;2;1;1;2;2;2;2;1;3;5;110;13;122;;14.12.2021 16:06;1;0;4;4;0;0;1,01;15
182;;641;base;interview;14.12.2021 16:52;1;2;34;2;3;2;4;2;3;1;3;3;3;2;1;1;4;9;17;6;36;;14.12.2021 16:53;1;0;4;4;0;0;1,46;36
183;;736;base;interview;14.12.2021 18:36;1;2;29;3;3;1;1;1;1;1;1;4;4;4;3;1;6;4;41;4;55;;14.12.2021 18:36;1;0;4;4;0;0;1,22;11
184;;337;base;interview;14.12.2021 20:08;1;1;23;2;2;1;1;1;2;1;2;2;2;2;2;1;3;3;76;4;86;;14.12.2021 20:10;1;0;4;4;0;0;1,44;25
185;;811;base;interview;15.12.2021 10:51;1;2;29;3;3;2;2;4;2;3;2;3;2;3;4;1;3;5;17;4;29;;15.12.2021 10:51;1;0;4;4;0;0;1,8;44
186;;336;base;interview;15.12.2021 11:28;1;1;19;3;3;1;1;2;2;1;1;1;4;1;3;1;4;8;74;4;90;;15.12.2021 11:29;1;0;4;4;0;0;1,01;6
187;;770;base;interview;15.12.2021 16:47;1;1;25;4;4;1;1;1;3;1;1;4;4;4;4;1;2;8;68;4;82;;15.12.2021 16:48;1;0;4;4;0;0;1,4;25
188;;675;base;interview;15.12.2021 20:34;1;1;40;3;3;1;2;3;4;1;1;1;3;2;3;1;7;8;56;7;78;;15.12.2021 20:35;1;0;4;4;0;0;0,8;0
189;;728;base;interview;15.12.2021 20:51;1;1;30;3;4;1;3;4;4;1;1;3;3;4;3;1;4;6;80;5;95;;15.12.2021 20:53;1;0;4;4;0;0;1;6
190;;426;base;interview;16.12.2021 00:25;1;1;28;1;1;1;3;1;1;1;1;1;2;2;1;1;3;6;53;3;65;;16.12.2021 00:26;1;0;4;4;0;0;1,35;18
191;;743;base;interview;16.12.2021 07:44;1;2;20;3;3;2;2;2;3;1;3;2;4;2;3;1;6;5;60;5;76;;16.12.2021 07:46;1;0;4;4;0;0;0,99;3
192;;762;base;interview;16.12.2021 09:10;1;1;27;3;4;2;1;2;4;2;3;3;4;4;3;1;3;5;47;5;60;;16.12.2021 09:11;1;0;4;4;0;0;1,3;18
193;;358;base;interview;16.12.2021 09:43;1;1;26;4;3;2;2;2;3;1;2;3;3;2;3;1;5;6;44;4;59;;16.12.2021 09:44;1;0;4;4;0;0;1,12;6
194;;462;base;interview;16.12.2021 10:51;1;2;20;4;4;3;1;2;4;1;3;2;4;1;4;1;5;6;56;6;73;;16.12.2021 10:52;1;0;4;4;0;0;0,97;3
195;;435;base;interview;16.12.2021 11:56;1;2;21;4;4;1;2;3;3;1;1;2;3;2;3;1;5;6;48;5;64;;16.12.2021 11:57;1;0;4;4;0;0;1,05;5
196;;102;base;interview;16.12.2021 13:37;1;2;20;3;3;1;1;1;3;1;1;3;3;2;2;1;4;7;34;4;49;;16.12.2021 13:38;1;0;4;4;0;0;1,26;15
197;;170;base;interview;17.12.2021 09:10;1;2;23;3;3;3;1;2;3;1;3;3;3;3;3;1;4;8;73;5;90;;17.12.2021 09:12;1;0;4;4;0;0;0,96;6
198;;685;base;interview;17.12.2021 15:38;1;1;18;4;4;3;1;1;3;2;3;1;4;1;4;1;2;5;33;2;42;;17.12.2021 15:39;1;0;4;4;0;0;1,98;49
199;;274;base;interview;18.12.2021 20:55;1;3;22;4;4;2;3;1;3;3;4;3;4;2;4;1;4;4;63;4;75;;18.12.2021 20:57;1;0;4;4;0;0;1,23;13
200;;197;base;interview;18.12.2021 21:04;1;2;20;3;3;1;2;1;3;1;1;1;3;2;3;1;5;8;53;3;69;;18.12.2021 21:05;1;0;4;4;0;0;1,09;8
201;;755;base;interview;20.12.2021 09:59;1;2;19;4;4;2;4;2;4;2;4;4;4;4;4;1;3;5;55;3;66;;20.12.2021 10:00;1;0;4;4;0;0;1,39;20
202;;225;base;interview;20.12.2021 11:19;1;2;20;3;3;2;1;1;4;2;2;2;4;2;3;1;3;5;34;4;46;;20.12.2021 11:20;1;0;4;4;0;0;1,47;23
203;;735;base;interview;20.12.2021 23:13;1;2;20;3;4;2;2;2;3;1;2;2;4;2;3;1;6;9;48;4;67;;20.12.2021 23:14;1;0;4;4;0;0;0,96;2
204;;282;base;interview;22.12.2021 10:56;1;1;22;3;3;1;1;1;2;1;3;3;3;1;3;1;3;7;60;4;74;;22.12.2021 10:57;1;0;4;4;0;0;1,2;13
205;;655;base;interview;22.12.2021 12:10;1;1;21;3;3;1;1;1;2;1;3;2;3;3;4;1;9;6;52;5;72;;22.12.2021 12:11;1;0;4;4;0;0;0,89;1
206;;71;base;interview;22.12.2021 22:12;1;2;29;3;1;1;1;1;2;1;1;4;3;3;2;1;12;7;73;7;99;;22.12.2021 22:14;1;0;4;4;0;0;0,68;0
207;;348;base;interview;25.12.2021 18:44;1;2;22;4;4;1;2;4;4;1;2;1;4;3;4;1;3;6;42;3;54;;25.12.2021 18:45;1;0;4;4;0;0;1,42;21
208;;700;base;interview;26.12.2021 22:29;1;2;18;4;3;2;2;1;4;3;4;3;4;2;3;1;11;6;43;5;65;;26.12.2021 22:30;1;0;4;4;0;0;0,92;4
209;;134;base;interview;28.12.2021 12:56;1;2;20;4;4;2;1;1;4;1;2;3;4;3;3;1;7;5;55;6;73;;28.12.2021 12:57;1;0;4;4;0;0;0,94;3
210;;186;base;interview;28.12.2021 22:57;1;2;43;3;3;2;2;2;3;1;2;3;3;2;3;1;6;9;62;5;82;;28.12.2021 22:58;1;0;4;4;0;0;0,85;0
211;;116;base;interview;01.01.2022 14:26;1;2;33;2;2;2;2;3;2;1;1;2;3;2;3;2;4;7;77;11;92;;01.01.2022 14:27;1;0;4;4;0;0;0,87;6
212;;779;base;interview;02.01.2022 16:03;1;1;24;2;3;2;1;1;2;1;1;2;3;1;2;1;6;8;77;5;96;;02.01.2022 16:05;1;0;4;4;0;0;0,82;0
213;;773;base;interview;02.01.2022 20:53;1;1;19;3;2;1;1;1;2;1;1;1;4;1;2;1;18;5;51;4;78;;02.01.2022 20:54;1;0;4;4;0;0;0,91;4
214;;403;base;interview;03.01.2022 21:12;1;2;23;2;4;3;1;3;3;2;3;3;4;3;2;1;3;6;15;3;27;;03.01.2022 21:13;1;0;4;4;0;0;1,83;52
215;;754;base;interview;04.01.2022 11:50;1;1;20;3;3;1;1;1;3;1;2;2;4;1;3;1;2;5;45;3;55;;04.01.2022 11:51;1;0;4;4;0;0;1,7;35
217;;672;base;interview;05.01.2022 17:34;1;2;23;3;3;2;1;2;4;1;2;2;4;2;3;1;6;7;59;5;77;;05.01.2022 17:35;1;0;4;4;0;0;0,91;0
218;;643;base;interview;10.01.2022 01:34;1;1;29;3;3;2;2;2;3;2;3;2;4;3;3;1;8;22;31;3;48;;10.01.2022 01:35;1;0;4;4;0;0;1,05;15
